cid,qid,t_start,t_sqe_copy,t_doorbell,t_completion,t_end,t_poll_cycles,submit_ns,completion_ns,submit_preamble_ns,tracker_alloc_ns,addr_xlate_ns,cmd_construct_ns,fence_ns,doorbell_ns,cqe_detect_ns,tracker_lookup_ns,state_dealloc_ns
191,0,13141421534,13141508842,13141508962,13141513982,13141514217,724,43711,117,73,21512,22004,60,31,18,20,11,84
191,0,13141756206,13141757050,13141757170,13141759104,13141781686,412,481,11290,73,264,22,60,31,18,20,11,11257
191,0,13141786308,13141787152,13141787272,13141789212,13141789447,412,481,117,73,264,22,60,31,18,20,11,84
191,0,13141961768,13141962915,13141963035,13141968063,13141968298,724,633,117,73,264,174,60,31,18,20,11,84
191,0,13142020244,13142021391,13142021511,13142026536,13142026771,724,633,117,73,264,174,60,31,18,20,11,84
190,0,13150914409,13150915253,13150915373,13150919381,13150919616,3378,481,117,73,264,22,60,31,18,20,11,84
302,1,15151078566,15151078934,15151078968,15151111945,15151112154,1642121891,200,104,73,61,0,65,0,0,20,11,71
470,1,15151058170,15151058538,15151058572,15151115053,15151115262,1642124999,200,104,73,61,0,65,0,0,20,11,71
448,1,15151083728,15151084096,15151084130,15151118164,15151118373,1642128110,200,104,73,61,0,65,0,0,20,11,71
331,1,15151085450,15151085818,15151085852,15151121328,15151121537,1642131274,200,104,73,61,0,65,0,0,20,11,71
361,1,15151082011,15151082379,15151082413,15151124492,15151124701,1642134438,200,104,73,61,0,65,0,0,20,11,71
254,1,15151092334,15151092702,15151092736,15151127656,15151127865,1642137602,200,104,73,61,0,65,0,0,20,11,71
426,1,15151088882,15151089250,15151089284,15151130820,15151131029,1642140766,200,104,73,61,0,65,0,0,20,11,71
462,1,15151087172,15151087540,15151087574,15151133984,15151134193,1642143930,200,104,73,61,0,65,0,0,20,11,71
73,1,15151102642,15151103010,15151103044,15151137177,15151137386,1642147123,200,104,73,61,0,65,0,0,20,11,71
443,1,15151094051,15151094419,15151094453,15151140288,15151140497,1642150234,200,104,73,61,0,65,0,0,20,11,71
135,1,15151090617,15151090985,15151091019,15151143449,15151143658,1642153395,200,104,73,61,0,65,0,0,20,11,71
307,1,15151104347,15151104715,15151104749,15151146613,15151146822,1642156559,200,104,73,61,0,65,0,0,20,11,71
526,1,15151099208,15151099576,15151099610,15151149774,15151149983,1642159720,200,104,73,61,0,65,0,0,20,11,71
207,1,15151095768,15151096136,15151096170,15151152935,15151153144,1642162881,200,104,73,61,0,65,0,0,20,11,71
349,1,15151097478,15151097846,15151097880,15151156096,15151156305,1642166042,200,104,73,61,0,65,0,0,20,11,71
356,1,15151100925,15151101293,15151101327,15151159061,15151159270,1642169007,200,104,73,61,0,65,0,0,20,11,71
190,0,15151344913,15151345757,15151345877,15151347650,15151347885,409,481,117,73,264,22,60,31,18,20,11,84
190,0,15151352160,15151353004,15151353124,15151354897,15151355132,409,481,117,73,264,22,60,31,18,20,11,84
